fecha,periodo,laeq
2020-09-04,N,55.358620689655176
2020-09-04,T,59.93793103448276
2020-09-05,D,59.11379310344827
2020-09-05,E,60.189655172413794
2020-09-05,N,55.41034482758621
2020-09-05,T,58.52068965517241
2020-09-06,D,58.206896551724135
2020-09-06,E,60.02068965517241
2020-09-06,N,54.96551724137931
2020-09-06,T,57.91379310344828
2020-09-07,D,61.286206896551725
2020-09-07,E,60.23793103448276
2020-09-07,N,54.36896551724138
2020-09-07,T,59.820689655172416
2020-09-08,D,61.324137931034485
2020-09-08,E,60.56896551724138
2020-09-08,N,54.5103448275862
2020-09-08,T,59.91724137931034
2020-09-09,D,61.699999999999996
2020-09-09,E,60.4448275862069
2020-09-09,N,54.41034482758621
2020-09-09,T,60.193103448275856
2020-09-10,D,62.044444444444444
2020-09-10,E,61.13703703703704
2020-09-10,N,54.40689655172414
2020-09-10,T,60.58148148148148
2020-09-11,D,61.64074074074074
2020-09-11,E,61.25925925925926
2020-09-11,N,55.422222222222224
2020-09-11,T,60.47777777777778
2020-09-12,D,59.1925925925926
2020-09-12,E,61.01111111111111
2020-09-12,N,56.411111111111104
2020-09-12,T,59.048148148148144
2020-09-13,D,58.54230769230769
2020-09-13,E,59.78076923076923
2020-09-13,N,56.1925925925926
2020-09-13,T,58.20384615384615
2020-09-14,D,61.73703703703704
2020-09-14,E,60.51481481481482
2020-09-14,N,54.111538461538466
2020-09-14,T,60.211111111111116
2020-09-15,D,62.114814814814814
2020-09-15,E,61.21851851851852
2020-09-15,N,55.9
2020-09-15,T,60.833333333333336
2020-09-16,D,61.992592592592594
2020-09-16,E,61.97777777777778
2020-09-16,N,54.711111111111116
2020-09-16,T,60.85925925925926
2020-09-17,D,62.43333333333334
2020-09-17,E,62.818518518518516
2020-09-17,N,55.36296296296296
2020-09-17,T,61.32592592592592
2020-09-18,D,63.15185185185185
2020-09-18,E,61.711111111111116
2020-09-18,N,57.229629629629635
2020-09-18,T,61.64074074074074
2020-09-19,D,60.67407407407408
2020-09-19,E,60.833333333333336
2020-09-19,N,58.86666666666666
2020-09-19,T,60.27407407407408
2020-09-20,D,59.51481481481482
2020-09-20,E,61.04074074074074
2020-09-20,N,55.303703703703704
2020-09-20,T,58.98518518518518
2020-09-21,D,62.24814814814815
2020-09-21,E,61.025925925925925
2020-09-21,N,54.54074074074074
2020-09-21,T,60.78148148148148
2020-09-22,D,62.43333333333333
2020-09-22,E,60.107142857142854
2020-09-22,N,53.86666666666667
2020-09-22,T,60.74333333333333
2020-09-23,D,61.66428571428571
2020-09-23,E,60.81428571428571
2020-09-23,N,53.364285714285714
2020-09-23,T,60.167857142857144
2020-09-24,D,62.378571428571426
2020-09-24,E,60.642857142857146
2020-09-24,N,53.90714285714286
2020-09-24,T,60.63214285714286
2020-09-25,D,61.94642857142857
2020-09-25,E,60.74642857142857
2020-09-25,N,55.035714285714285
2020-09-25,T,60.46071428571429
2020-09-26,D,58.68214285714286
2020-09-26,E,59.61785714285714
2020-09-26,N,54.025
2020-09-26,T,58.15714285714286
2020-09-27,D,58.63333333333333
2020-09-27,E,59.329629629629636
2020-09-27,N,53.58571428571429
2020-09-27,T,57.818518518518516
2020-09-28,D,61.05714285714286
2020-09-28,E,59.88928571428572
2020-09-28,N,53.029629629629625
2020-09-28,T,59.503571428571426
2020-09-29,D,61.449999999999996
2020-09-29,E,59.982142857142854
2020-09-29,N,53.36785714285714
2020-09-29,T,59.82142857142857
2020-09-30,D,61.239285714285714
2020-09-30,E,59.800000000000004
2020-09-30,N,53.54642857142857
2020-09-30,T,59.596428571428575
2020-10-01,D,61.357142857142854
2020-10-01,E,60.38928571428572
2020-10-01,N,53.707142857142856
2020-10-01,T,59.84285714285714
2020-10-02,D,63.464285714285715
2020-10-02,E,61.260714285714286
2020-10-02,N,55.535714285714285
2020-10-02,T,61.75
2020-10-03,D,59.760714285714286
2020-10-03,E,59.800000000000004
2020-10-03,N,54.42142857142857
2020-10-03,T,58.63928571428572
2020-10-04,D,58.800000000000004
2020-10-04,E,58.94642857142857
2020-10-04,N,53.16428571428571
2020-10-04,T,57.69285714285714
2020-10-05,D,61.79
2020-10-05,E,60.223333333333336
2020-10-05,N,53.089285714285715
2020-10-05,T,60.18333333333333
2020-10-06,D,62.276666666666664
2020-10-06,E,60.64333333333333
2020-10-06,N,53.443333333333335
2020-10-06,T,60.54333333333333
2020-10-07,D,62.21333333333334
2020-10-07,E,61.29666666666667
2020-10-07,N,53.78
2020-10-07,T,60.63666666666666
2020-10-08,D,62.635714285714286
2020-10-08,E,60.7962962962963
2020-10-08,N,54.11
2020-10-08,T,60.971428571428575
2020-10-09,D,61.892857142857146
2020-10-09,E,61.364285714285714
2020-10-09,N,55.025
2020-10-09,T,60.574999999999996
2020-10-10,D,59.86785714285714
2020-10-10,E,61.05357142857143
2020-10-10,N,55.028571428571425
2020-10-10,T,59.16428571428571
2020-10-11,D,59.364285714285714
2020-10-11,E,60.33571428571429
2020-10-11,N,54.949999999999996
2020-10-11,T,58.574999999999996
2020-10-12,D,60.232142857142854
2020-10-12,E,59.925000000000004
2020-10-12,N,53.699999999999996
2020-10-12,T,58.989285714285714
2020-10-13,D,62.225
2020-10-13,E,60.43928571428571
2020-10-13,N,53.78928571428571
2020-10-13,T,60.496428571428574
2020-10-14,D,61.885714285714286
2020-10-14,E,60.153571428571425
2020-10-14,N,53.4
2020-10-14,T,60.135714285714286
2020-10-15,D,62.51428571428571
2020-10-15,E,60.4
2020-10-15,N,53.800000000000004
2020-10-15,T,60.76428571428572
