Sexo	Edad	Salud mental	SI o NO_salud mental	periodo	Total
Hombres	De 15 a 44 años	Sentirse mal con uno mismo	No	Durante pandemia	95,74
Hombres	De 15 a 44 años	Sentirse mal con uno mismo	No	Anterior a pandemia	95,26
Hombres	De 15 a 44 años	Problemas para concentrarse	Total	Durante pandemia	100,00
Hombres	De 15 a 44 años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
Hombres	De 15 a 44 años	Problemas para concentrarse	Sí	Durante pandemia	3,94
Hombres	De 15 a 44 años	Problemas para concentrarse	Sí	Anterior a pandemia	4,12
Hombres	De 15 a 44 años	Problemas para concentrarse	No	Durante pandemia	96,06
Hombres	De 15 a 44 años	Problemas para concentrarse	No	Anterior a pandemia	95,88
Hombres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
Hombres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
Hombres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	2,64
Hombres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	2,54
Hombres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	97,36
Hombres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	97,46
Hombres	De 45 a 64 años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
Hombres	De 45 a 64 años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
